Company_Name,HeadQuarter,What_it_does,Investor,funding_year,Amount($),Stage,Sector
Metadome,Bengaluru,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Chiratae Ventures, Lenskart Vision Fund",2021,4000000.0,Pre-Series A,Technology
Keka HR,Hyderabad,Keka is a simple and intuitive HR software unlike the traditional HR systems.,Recur Club,2021,1600000.0,Undisclosed,Technology
The Gourmet Jar,Noida,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",DevX Venture Fund,2021,150000.0,Undisclosed,Agriculture and Food
Flo Mobility,Bengaluru,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.","DevX Venture Fund, Blume Founder Fund",2021,400000.0,Undisclosed,Industrial and Manufacturing
Yodacart,Thane,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Ajith Daneil,2021,225000.0,Pre-Seed,E-Commerce and Retail
TheHouseMonk,Bengaluru,A complete property management software platform for team&customers.,Aurum Proptech,2021,5000000.0,Undisclosed,Real Estate and Construction
Zepto,Bengaluru,"Ability to consistently deliver 2,500+ products in 10 minutes flat.",Y-Combinator,2021,100000000.0,Undisclosed,E-Commerce and Retail
Sirona Hygiene,New Delhi,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",The Good Glamm Group,2021,10000000.0,Undisclosed,Healthcare and Wellness
Jumbotail,Bengaluru,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",Invus,2021,85000000.0,Series C,E-Commerce and Retail
Captain Fresh,Bengaluru,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,"Tiger Global, Prosus Ventures",2021,40000000.0,Series B,Transportation and Mobility
Deciwood,New Delhi,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.","Shuru Up, Ankit Kedia, Arun Gupta",2021,200000.0,Undisclosed,E-Commerce and Retail
Kohbee,Bengaluru,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Ankit Mehrotra, Saurabh Aggarwal",2021,235000.0,Pre-Seed,Education
Perfora,Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",Sauce.vc,2021,260000.0,Pre-Seed,E-Commerce and Retail
Unbox Robotics,Pune,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"3one4 Capital, Sixth Sense Ventures",2021,7000000.0,Series A,Transportation and Mobility
Ninety One,Ahmedabad,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",A91 Partners,2021,30000000.0,Series A,E-Commerce and Retail
Gobillion,New Delhi,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!,"YCombinator, Justin Mateen, Pioneer Fund",2021,2900000.0,Seed Round,E-Commerce and Retail
RIPPLR,Bengaluru,India’s first Plug-n-Play distribution ecosystem for brands,"Sojitz Corporation, Stride Ventures",2021,12000000.0,Pre-Series A,Transportation and Mobility
SK Finance,Jaipur,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,"IIFL Wealth, TPG Growth, Norwest Venture Partners",2021,53000000.0,Series F,Financial Services
Eggoz,Gurugram,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Nabventures, Avaana Capital",2021,3500000.0,Series A,Agriculture and Food
Fabriclore,Jaipur,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.","Fluid Ventures, Mulberry Silks",2021,700000.0,Pre-Series A,Consumer Goods
Veefin,Mumbai,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.",Rajesh Rajendran,2021,3000000.0,Undisclosed,Technology
Verandah,Mumbai,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots.,"Mike Novogratz, Neeraj Arora",2021,1000000.0,Seed Round,Consumer Goods
Karkinos Healthcare,Mumbai,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.",Reliance Digital Health,2021,0.0,Undisclosed,Healthcare and Wellness
OWO Technologies,Gurugram,An ecommerce startup offering online beverages and packaged drinking water,Undisclosed,2021,3000000.0,Seed Round,Agriculture and Food
EsportsXO,Bengaluru,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,We Founder Circle,2021,1100000.0,Seed Round,Media and Entertainment
Zorgers,Mohali,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,Ritu Marya Family Office.,2021,0.0,Undisclosed,Healthcare and Wellness
BangDB,Bengaluru,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,Ten Innovate,2021,0.0,Undisclosed,Technology
Neobank Jupiter,Mumbai,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you.,"Tiger Global, Sequoia Capital",2021,86000000.0,Series C,Finance and FinTech
Skippi Ice Pops,Hyderabad,India's First Icepops Brand,Shark Tank India,2021,130000.0,Undisclosed,Agriculture and Food
Glii,Noida,India’s finest dating companionship application,We Founder Circle,2021,10000.0,Seed Round,Media and Entertainment
GlobalBees,New Delhi,Globalbees partners with entrepreneurs who have built an online-first business.,"Premji Invest, Steadview Capital",2021,111000000.0,Series B,E-Commerce and Retail
Mamaearth,Gurugram,Baby and mother care brand,Sequoia,2021,37000000.0,Undisclosed,Healthcare and Wellness
SecureNow,Gurugram,SecureNow is an award winning tech-enabled insurance intermediary.,Apis Insurtech Fund I,2021,6000000.0,Series B,Finance and FinTech
Vendor Infra,Gurugram,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities","SK Tripathi, Sanjeev Gupta",2021,265000.0,Undisclosed,Real Estate and Construction
Hakuna Matata,Chennai,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,Hardcastle Petrofer,2021,1000000.0,Undisclosed,Technology
OneCard,Pune,"India's finest and smartest metal credit card, reimagined for the mobile generation.","Ocean View Investment, QED Fund",2021,76000000.0,Undisclosed,Financial Services
Doubtnut,Gurugram,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Omidyar Network, Tencent Holdings",2021,30000000.0,Series B,Education
Hubhopper,New Delhi,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms","ITI Growth Opportunities Fund, Unit-E Ventures",2021,0.0,Undisclosed,Podcast
Infra.Market,Thane,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"InnoVen Capital, Nexus Venture Partners",2021,100000000.0,Series C,Real Estate and Construction
Comofi Medtech,Bengaluru,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",CIIE.CO,2021,200000.0,Undisclosed,Technology
Battery Smart,New Delhi,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,Orios Venture Partners,2021,0.0,Seed Round,Technology
Kutuki,Bengaluru,Kutuki is a learning platform focused on children between the ages of three and seven.,Omidyar Network India,2021,2000000.0,Seed Round,Education
Onelife,Mumbai,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Wipro venture capital arm,2021,0.0,Undisclosed,Healthcare and Wellness
Eupheus,New Delhi,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.,"Yuj Ventures, Sixth Sense Ventures",2021,4000000.0,Series B,Education
KreditBee,Bengaluru,KreditBee is an Instant Personal Loan Platform for Young Professionals.,"Premji Invest, Mirae Asset Naver Asia Growth Fund, Alpine Capital",2021,75000000.0,Series C,Finance and FinTech
Pencil,Mumbai,Pencil is a content publishing platform that enables writers to publish their work for free.,"Inflection Point Ventures, SucSEED Venture Partners",2021,1000000.0,Pre-Series A,Content publishing
Aisle,Bengaluru,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships.,"Anas Rahman Junaid, Vinod Jose",2021,0.0,Pre-Series A,Media and Entertainment
Marquee Equity,Mumbai,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally,"Capital One, Arrowroot Capital",2021,3800000.0,Undisclosed,Finance and FinTech
UptimeAI,Bengaluru,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",YourNest Venture Capital,2021,1500000.0,Seed Round,Technology
WizKlub,Bengaluru,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Incubate Fund India,2021,800000.0,Pre-Series A,Education
Zolve,Bengaluru,Zolve Innovations operates as a neo-banking startup.,"Kunal Shah, Greg Kidd",2021,15000000.0,Seed Round,Finance and FinTech
MediBuddy,Bengaluru,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","InnoVen Capital, TEAMFund",2021,3000000.0,Debt Financing,Education
Pariksha,Pune,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.","Venture Catalysts, 9Unicorns Accelerator Fund",2021,2000000.0,Pre-Series A,Education
Express Stores,Gurugram,Express Stores is a retail and omnichannel startup company,"Venture Highway, Rohit Bansal",2021,1000000.0,Seed Round,E-Commerce and Retail
Avataar Ventures,Bengaluru,Avataar Venture Partners is a growth Capital Investment Firm.,Undisclosed,2021,100000000.0,Undisclosed,Finance and FinTech
Zingbus,Chandigarh,Zingbus is an emerging brand in the intercity bus services.,"Venture Catalysts, 9Unicorns Accelerator Fund",2021,0.0,Pre-Series A,Transportation and Mobility
Phable,Bengaluru,Mobile App for Patients and Doctors,"Fresco Capital, Social Starts",2021,12000000.0,Series A,Healthcare and Wellness
Codingal,Bengaluru,Coding education platform for K-12 students,"Y Combinator, Rebright Partners",2021,0.0,Undisclosed,Education
Supply6,Bengaluru,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies.,"Rohit Goutamchand, India CXO Fund",2021,100000.0,Seed Round,Healthcare and Wellness
Swajal,Gurugram,Swajal uses clean solar energy to purify drinking water at an affordable rate.,"Rajasthan Venture Capital Fund, ACPL Exports",2021,1600000.0,Pre-Series A,Water purification
BharatPe,New Delhi,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Amplo, Insight Partners",2021,100000000.0,Series D,Finance and FinTech
Filo,New Delhi,Instant learning platform for students while self study.,Better Capital,2021,260000.0,Pre-Seed,Education
Method & Madness,Mumbai,Method & Madness Technology operates as a real-estate tech company.,Justin Mateen,2021,2000000.0,Seed Round,Real Estate and Construction
EduFund,Gujarat,Changing the way Indians evaluate and plan higher education,View Trade Holding Corp,2021,300000.0,Pre-Seed,Finance and FinTech
Pepperfry,Mumbai,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities.,"InnoVen Capital, Bertelsmann India Investments",2021,30000000.0,Debt Financing,E-Commerce and Retail
Zingavita,Chandigarh,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.",Anicut Angel Fund,2021,400000.0,Undisclosed,Healthcare and Wellness
Hypd Store,New Delhi,"A shop worthy content platform, personalized!",ScoopWhoop,2021,0.0,Pre-Seed,Content commerce
VerSe Innovation,Bengaluru,Owner of Dailyhunt App and I-Pay,"Canaan Valley Capital, Glade Brook Capital Partners",2021,1000000000.0,Series H,Innovation Management
Supersourcing,Indore,Build your next app or website with our exclusive network of certified IT companies.,"Vijay Shekhar Sharma, Dr Ritesh Malik",2021,200000.0,Seed Round,Technology
AutomataPi,Powai,AutomataPi is a next generation cognitive business process automation engine.,Indian Angel Network,2021,400000.0,Seed Round,Industrial and Manufacturing
Newton School,Bengaluru,Newton School is a platform to learn and develop skills that you need for your best Tech career.,"RTP Global, Harshil Mathur",2021,5000000.0,Series A,Education
TenderCuts,Chennai,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.","Paragon Partners, NABVENTURES",2021,15000000.0,Undisclosed,Agriculture and Food
Siply,Bengaluru,Siply Services operates as a micro-savings platform.,Inflection Point Ventures,2021,1000000.0,Seed Round,Finance and FinTech
SarvaGram,Mumbai,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,Elevation Capital,2021,10000000.0,Series B,Finance and FinTech
Unlu,Gurugram,Personalised Video Shoutout from top celebrities,EXPERT DOJO,2021,1000000.0,Seed Round,Technology
